"Item Id","Item URI","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:Number of Attachments","Item Type Metadata:URL","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Journal Entry","Item Type Metadata:Footnotes","Item Type Metadata:Location","PDF Text:Text",tags,file,itemType,collection,public,featured
31028,https://georgeeliotarchive.org/items/show/31028,"""Black-eyed Monkey""",Item,"Sir Christopher Cheverel's name for Caterina.",,,,,,,"""Black-eyed Monkey""",,,Text,https://georgeeliotarchive.org/items/show/21837,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31027,https://georgeeliotarchive.org/items/show/31027,"GE Dictionary Spreadsheet","Character Name",,,,,,,,,,,,https://georgeeliotarchive.org/items/show/4560,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31026,https://georgeeliotarchive.org/items/show/31026,Lamech,"Character Name","Jubal's father.",,"The Legend of Jubal",,,,,Lamech,,,Text,https://georgeeliotarchive.org/items/show/22721,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31025,https://georgeeliotarchive.org/items/show/31025,Seth,"Character Name",,,"The Legend of Jubal",,,,,Seth,,,Text,https://georgeeliotarchive.org/items/show/23447,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31024,https://georgeeliotarchive.org/items/show/31024,Tubal-Cain,"Character Name",,,"The Legend of Jubal",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23680,,Tubal-Cain,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31023,https://georgeeliotarchive.org/items/show/31023,Jabal,"Character Name","Lamech's eldest son who ""bore upon his face / The look of that calm river-god^^ the Nile^^ / Mildly secure in power that / needs not guile.""",,"The Legend of Jubal",,,,,Jabal,,,Text,https://georgeeliotarchive.org/items/show/22621,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31022,https://georgeeliotarchive.org/items/show/31022,Jubal,"Character Name","Youngest son of Lamech who invents the lyre and discovers music. He wanders through the world for long years^^ seeking higher music and greater songs. After many years he returns^^ an old man^^ to find a newer generation celebrating him and his discovery of music in great festival. They believe^^ however^^ that he is dead^^ and when he proclaims himself the Jubal whom they are honouring he is jeered at and thrust out alone^^ to die. Dying^^ he is consoled by a vision of the greatness of his gift to man in the discovery of song.",,"The Legend of Jubal",,,,,Jubal,,,Text,https://georgeeliotarchive.org/items/show/22662,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31021,https://georgeeliotarchive.org/items/show/31021,Gabriel,"Character Name","Angel^^ ""the messenger of mildest death that draws the parting life.""",,"The Death of Moses",,,,,Gabriel,,,Text,https://georgeeliotarchive.org/items/show/22378,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31020,https://georgeeliotarchive.org/items/show/31020,Zamael,"Character Name","Angel; ""the terrible^^ the angel of fierce death^^ of agony that comes in battle and in pestilence.""",,"The Death of Moses",,,,,Zamael,,,Text,https://georgeeliotarchive.org/items/show/23814,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31019,https://georgeeliotarchive.org/items/show/31019,Michael,"Character Name","Angel ""of pensive brow^^ snow-vest^^ and flaming sword"".",,"The Death of Moses",,,,,Michael,,,Text,https://georgeeliotarchive.org/items/show/22964,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31018,https://georgeeliotarchive.org/items/show/31018,"Stradivarius^^ Antonio (Hist.)","Historical Name","The great violin maker who has the craftsman's delight in perfect work and defends his gospel of hard honest work against the jeers of Naldo the eclectic painter. ""'Tis rare delight: I would not change my skill / To be the Emperor with bungling hands^^ / And lose my work^^ which comes as natural / As self at waking . . . / . . . 'Tis God gives skill^^ / But not without men's hands: / He could not make / Antonio Stradivari's violins / Without Antonio."" The central idea of the poem^^ the delight of the work man in perfect work^^ George Eliot took from the character of her father^^ Robert Evans. Antonio Stradivari^^ or Stradivarius (1644-1737) was a famous Italian maker of violins.",,Stradivarius,,,,,"Stradivarius^^ Antonio (Hist.)",,,Text,https://georgeeliotarchive.org/items/show/23541,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31017,https://georgeeliotarchive.org/items/show/31017,Giuseppe,"Character Name","A maker of violins^^ held by some people to be as good as Stradivarius.",,Stradivarius,,,,,Giuseppe,,,Text,https://georgeeliotarchive.org/items/show/22431,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31016,https://georgeeliotarchive.org/items/show/31016,Naldo,"Character Name","A ""painter of eclectic school""^^ without power of application. He furnishes the contrast to Stradivarius in the poetic dialogue between the two.",,Stradivarius,,,,,Naldo,,,Text,https://georgeeliotarchive.org/items/show/23022,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31015,https://georgeeliotarchive.org/items/show/31015,"New York (Real)","Real Place","New York (Real)^^The American city where^^ in Daniel Deronda^^ Mirah Cohen and her father^^ Lapidoth^^ live for some time^^ and where^^ in Middlemarch^^ Raffles goes with the money which Bulstrode has paid him to leave England.",,"Multiple(Middlemarch^^ Daniel Deronda)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23044,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31014,https://georgeeliotarchive.org/items/show/31014,"Bond^^ Mr.","Character Name","Church warden at Shepperton.",,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story)",,,,,"Bond^^ Mr.",,,Text,https://georgeeliotarchive.org/items/show/21863,,,,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
31013,https://georgeeliotarchive.org/items/show/31013,"Oldinport Family","Character Name",,,"Multiple (The Sad Fortunes of the Reverend Amos Barton^^ Mr. Gilfil's Love Story)",,,,,,,,Text,https://georgeeliotarchive.org/items/show/23092,,"Oldinport Family",,,,,,,,,,,,,,,,,,,,Text,"Dictionary of Places and Characters",1,0
