Item Id,Item URI,Title,Subject,Description,Dublin Core:Creator,Source,Dublin Core:Publisher,Dublin Core:Date,Dublin Core:Contributor,Dublin Core:Rights,Relation,Dublin Core:Format,Dublin Core:Language,Dublin Core:Type,Dublin Core:Identifier,Dublin Core:Coverage,Item Type Metadata:Text,Item Type Metadata:Transcription,Item Type Metadata:Local URL,Item Type Metadata:Original Format,Item Type Metadata:Physical Dimensions,Item Type Metadata:From,Item Type Metadata:To,Item Type Metadata:Number of Attachments,Item Type Metadata:URL,Item Type Metadata:Birth Date,Item Type Metadata:Birthplace,Item Type Metadata:Death Date,Item Type Metadata:Biographical Text,Item Type Metadata:Bibliography,Item Type Metadata:Journal Entry,Item Type Metadata:Footnotes,Item Type Metadata:Location,PDF Text:Text,tags,file,itemType,collection,public,featured
23779,https://georgeeliotarchive.org/items/show/23779,"Williamson, Sarah",Character Name,"A Methodist preacher at Leeds, with whom Dinah Morris stays.",,Adam Bede,,,,,"Williamson, Sarah",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23760,https://georgeeliotarchive.org/items/show/23760,"West, Mr.",Character Name,Factor at Rosseter.,,Adam Bede,,,,,"West, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23735,https://georgeeliotarchive.org/items/show/23735,"Wakefield, Jim called Gentleman Wakefield",Character Name,A farmer who used to make no difference between Sundays and week days.,,Adam Bede,,,,,"Wakefield, Jim called Gentleman Wakefield",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23654,https://georgeeliotarchive.org/items/show/23654,"Tranter, Gil",Character Name,A man who was laid up for a fortnight after a fight for fun with Adam Bede,,Adam Bede,,,,,"Tranter, Gil",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23638,https://georgeeliotarchive.org/items/show/23638,"Townley, Colonel",Character Name,"The stranger on horseback who hears Dinah Morris preaching on the Green at Hayslope, and later, as a magistrate, gives her permission to visit Hetty Sorrel in prison at Stoniton, just before the time set for Hetty's execution.",,Adam Bede,,,,,"Townley, Colonel",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23609,https://georgeeliotarchive.org/items/show/23609,"Tod, Josh",Character Name,"Landlord of the ""Holly Bush.""",,Adam Bede,,,,,"Tod, Josh",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23595,https://georgeeliotarchive.org/items/show/23595,"Thurle, Mr.",Character Name,The desirable prospective tenant of the Chase Farm.,,Adam Bede,,,,,"Thurle, Mr.",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23586,https://georgeeliotarchive.org/items/show/23586,"Tholoway, Ben",Character Name,Labourer on Mr. Poyser's farm; a powerful thresher but not over-honest.,,Adam Bede,,,,,"Tholoway, Ben",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23585,https://georgeeliotarchive.org/items/show/23585,"Tholer, Bob",Character Name,The dead man for whom Adam Bede makes a coffin that his father had neglected to make.,,Adam Bede,,,,,"Tholer, Bob",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
23562,https://georgeeliotarchive.org/items/show/23562,"Taft, Mum",Character Name,A silent carpenter.,,Adam Bede,,,,,"Taft, Mum",,,,,,,,,,,,,,,,,,,,,,,,,,Text,Encyclopedia of Places and Characters,0,0
